Date,Temp,RH
2021/07/31 0:00,28.6,,
2021/07/31 0:01,28.6,,
2021/07/31 0:02,28.5,,
2021/07/31 0:03,28.5,,
2021/07/31 0:04,28.5,,
2021/07/31 0:05,28.5,,
2021/07/31 0:06,28.5,,
2021/07/31 0:07,28.5,,
2021/07/31 0:08,28.5,,
2021/07/31 0:09,28.5,,
2021/07/31 0:10,28.5,,
2021/07/31 0:11,28.5,,
2021/07/31 0:12,28.5,,
2021/07/31 0:13,28.5,,
2021/07/31 0:14,28.5,,
2021/07/31 0:15,28.5,,
2021/07/31 0:16,28.5,,
2021/07/31 0:17,28.5,,
2021/07/31 0:18,28.5,,
2021/07/31 0:19,28.5,,
2021/07/31 0:20,28.5,,
2021/07/31 0:21,28.5,,
2021/07/31 0:22,28.5,,
2021/07/31 0:23,28.5,,
2021/07/31 0:24,28.5,,
2021/07/31 0:25,28.5,,
2021/07/31 0:26,28.5,,
2021/07/31 0:27,28.5,,
2021/07/31 0:28,28.5,,
2021/07/31 0:29,28.5,,
2021/07/31 0:30,28.5,,
2021/07/31 0:31,28.5,,
2021/07/31 0:32,28.5,,
2021/07/31 0:33,28.5,,
2021/07/31 0:34,28.5,,
2021/07/31 0:35,28.5,,
2021/07/31 0:36,28.5,,
2021/07/31 0:37,28.5,,
2021/07/31 0:38,28.5,,
2021/07/31 0:39,28.5,,
2021/07/31 0:40,28.5,,
2021/07/31 0:41,28.5,,
2021/07/31 0:42,28.4,,
2021/07/31 0:43,28.4,,
2021/07/31 0:44,28.4,,
2021/07/31 0:45,28.4,,
2021/07/31 0:46,28.4,,
2021/07/31 0:47,28.4,,
2021/07/31 0:48,28.4,,
2021/07/31 0:49,28.4,,
2021/07/31 0:50,28.4,,
2021/07/31 0:51,28.4,,
2021/07/31 0:52,28.4,,
2021/07/31 0:53,28.4,,
2021/07/31 0:54,28.4,,
2021/07/31 0:55,28.4,,
2021/07/31 0:56,28.4,,
2021/07/31 0:57,28.4,,
2021/07/31 0:58,28.4,,
2021/07/31 0:59,28.4,,
2021/07/31 1:00,28.4,,
2021/07/31 1:01,28.4,,
2021/07/31 1:02,28.4,,
2021/07/31 1:03,28.4,,
2021/07/31 1:04,28.4,,
2021/07/31 1:05,28.4,,
2021/07/31 1:06,28.4,,
2021/07/31 1:07,28.4,,
2021/07/31 1:08,28.4,,
2021/07/31 1:09,28.4,,
2021/07/31 1:10,28.4,,
2021/07/31 1:11,28.4,,
2021/07/31 1:12,28.4,,
2021/07/31 1:13,28.4,,
2021/07/31 1:14,28.4,,
2021/07/31 1:15,28.4,,
2021/07/31 1:16,28.4,,
2021/07/31 1:17,28.4,,
2021/07/31 1:18,28.4,,
2021/07/31 1:19,28.4,,
2021/07/31 1:20,28.4,,
2021/07/31 1:21,28.4,,
2021/07/31 1:22,28.4,,
2021/07/31 1:23,28.4,,
2021/07/31 1:24,28.4,,
2021/07/31 1:25,28.4,,
2021/07/31 1:26,28.4,,
2021/07/31 1:27,28.3,,
2021/07/31 1:28,28.3,,
2021/07/31 1:29,28.3,,
2021/07/31 1:30,28.3,,
2021/07/31 1:31,28.3,,
2021/07/31 1:32,28.3,,
