Date,Temp,RH
2021/08/17 0:00,27.6,,
2021/08/17 0:01,27.6,,
2021/08/17 0:02,27.7,,
2021/08/17 0:03,27.7,,
2021/08/17 0:04,27.6,,
2021/08/17 0:05,27.6,,
2021/08/17 0:06,27.6,,
2021/08/17 0:07,27.7,,
2021/08/17 0:08,27.7,,
2021/08/17 0:09,27.7,,
2021/08/17 0:10,27.7,,
2021/08/17 0:11,27.8,,
2021/08/17 0:12,27.8,,
2021/08/17 0:13,27.8,,
2021/08/17 0:14,27.8,,
2021/08/17 0:15,27.8,,
2021/08/17 0:16,27.8,,
2021/08/17 0:17,27.8,,
2021/08/17 0:18,27.8,,
2021/08/17 0:19,27.8,,
2021/08/17 0:20,27.8,,
2021/08/17 0:21,27.8,,
2021/08/17 0:22,27.8,,
2021/08/17 0:23,27.8,,
2021/08/17 0:24,27.8,,
2021/08/17 0:25,27.8,,
2021/08/17 0:26,27.8,,
2021/08/17 0:27,27.8,,
2021/08/17 0:28,27.8,,
2021/08/17 0:29,27.8,,
2021/08/17 0:30,27.8,,
2021/08/17 0:31,27.8,,
2021/08/17 0:32,27.8,,
2021/08/17 0:33,27.8,,
2021/08/17 0:34,27.8,,
2021/08/17 0:35,27.7,,
2021/08/17 0:36,27.8,,
2021/08/17 0:37,27.8,,
2021/08/17 0:38,27.8,,
2021/08/17 0:39,27.8,,
2021/08/17 0:40,27.8,,
2021/08/17 0:41,27.8,,
2021/08/17 0:42,27.8,,
2021/08/17 0:43,27.8,,
2021/08/17 0:44,27.8,,
2021/08/17 0:45,27.8,,
2021/08/17 0:46,27.8,,
2021/08/17 0:47,27.8,,
2021/08/17 0:48,27.8,,
2021/08/17 0:49,27.9,,
2021/08/17 0:50,27.9,,
2021/08/17 0:51,27.9,,
2021/08/17 0:52,27.9,,
2021/08/17 0:53,27.9,,
2021/08/17 0:54,27.9,,
2021/08/17 0:55,27.9,,
2021/08/17 0:56,27.9,,
2021/08/17 0:57,27.8,,
2021/08/17 0:58,27.8,,
2021/08/17 0:59,27.7,,
2021/08/17 1:00,27.7,,
2021/08/17 1:01,27.6,,
2021/08/17 1:02,27.6,,
2021/08/17 1:03,27.5,,
2021/08/17 1:04,27.5,,
2021/08/17 1:05,27.5,,
2021/08/17 1:06,27.5,,
2021/08/17 1:07,27.4,,
2021/08/17 1:08,27.4,,
2021/08/17 1:09,27.4,,
2021/08/17 1:10,27.3,,
2021/08/17 1:11,27.3,,
2021/08/17 1:12,27.3,,
2021/08/17 1:13,27.3,,
2021/08/17 1:14,27.3,,
2021/08/17 1:15,27.3,,
2021/08/17 1:16,27.3,,
2021/08/17 1:17,27.4,,
2021/08/17 1:18,27.4,,
2021/08/17 1:19,27.4,,
2021/08/17 1:20,27.4,,
2021/08/17 1:21,27.4,,
