Date,Temp,RH
2021/07/05 0:00,28.6,81
2021/07/05 0:01,28.5,81
2021/07/05 0:02,28.5,81
2021/07/05 0:03,28.5,81
2021/07/05 0:04,28.5,82
2021/07/05 0:05,28.4,82
2021/07/05 0:06,28.4,82
2021/07/05 0:07,28.4,82
2021/07/05 0:08,28.4,82
2021/07/05 0:09,28.4,82
2021/07/05 0:10,28.4,82
2021/07/05 0:11,28.4,82
2021/07/05 0:12,28.4,82
2021/07/05 0:13,28.4,82
2021/07/05 0:14,28.4,81
2021/07/05 0:15,28.4,81
2021/07/05 0:16,28.4,81
2021/07/05 0:17,28.4,81
2021/07/05 0:18,28.4,81
2021/07/05 0:19,28.4,81
2021/07/05 0:20,28.4,82
2021/07/05 0:21,28.4,82
2021/07/05 0:22,28.4,81
2021/07/05 0:23,28.4,81
2021/07/05 0:24,28.4,82
2021/07/05 0:25,28.4,82
2021/07/05 0:26,28.4,82
2021/07/05 0:27,28.4,82
2021/07/05 0:28,28.4,82
2021/07/05 0:29,28.4,82
2021/07/05 0:30,28.4,82
2021/07/05 0:31,28.3,82
2021/07/05 0:32,28.4,81
2021/07/05 0:33,28.4,81
2021/07/05 0:34,28.4,80
2021/07/05 0:35,28.4,80
2021/07/05 0:36,28.4,81
2021/07/05 0:37,28.4,81
2021/07/05 0:38,28.4,82
2021/07/05 0:39,28.4,82
2021/07/05 0:40,28.3,82
2021/07/05 0:41,28.4,81
2021/07/05 0:42,28.4,81
2021/07/05 0:43,28.4,81
2021/07/05 0:44,28.4,81
2021/07/05 0:45,28.4,81
2021/07/05 0:46,28.4,81
2021/07/05 0:47,28.4,81
2021/07/05 0:48,28.4,81
2021/07/05 0:49,28.4,81
2021/07/05 0:50,28.4,81
2021/07/05 0:51,28.4,81
2021/07/05 0:52,28.4,81
2021/07/05 0:53,28.4,81
2021/07/05 0:54,28.4,80
2021/07/05 0:55,28.4,81
2021/07/05 0:56,28.4,81
2021/07/05 0:57,28.4,81
2021/07/05 0:58,28.4,80
2021/07/05 0:59,28.4,81
2021/07/05 1:00,28.3,82
2021/07/05 1:01,28.3,81
2021/07/05 1:02,28.4,80
2021/07/05 1:03,28.4,80
2021/07/05 1:04,28.4,80
2021/07/05 1:05,28.4,80
2021/07/05 1:06,28.4,81
2021/07/05 1:07,28.4,81
2021/07/05 1:08,28.4,81
2021/07/05 1:09,28.4,81
2021/07/05 1:10,28.4,81
2021/07/05 1:11,28.4,81
2021/07/05 1:12,28.3,81
2021/07/05 1:13,28.3,81
2021/07/05 1:14,28.4,80
2021/07/05 1:15,28.4,80
2021/07/05 1:16,28.4,80
2021/07/05 1:17,28.3,81
2021/07/05 1:18,28.3,81
2021/07/05 1:19,28.3,82
2021/07/05 1:20,28.3,81
2021/07/05 1:21,28.3,81
2021/07/05 1:22,28.3,81
2021/07/05 1:23,28.4,80
2021/07/05 1:24,28.4,80
2021/07/05 1:25,28.4,80
2021/07/05 1:26,28.4,80
2021/07/05 1:27,28.3,81
2021/07/05 1:28,28.3,81
2021/07/05 1:29,28.4,80
2021/07/05 1:30,28.3,81
2021/07/05 1:31,28.3,81
2021/07/05 1:32,28.3,81
2021/07/05 1:33,28.3,81
2021/07/05 1:34,28.3,80
2021/07/05 1:35,28.3,80
2021/07/05 1:36,28.3,80
2021/07/05 1:37,28.4,80
2021/07/05 1:38,28.5,81
2021/07/05 1:39,28.4,80
2021/07/05 1:40,28.5,78
2021/07/05 1:41,28.4,80
2021/07/05 1:42,28.4,80
2021/07/05 1:43,28.4,80
2021/07/05 1:44,28.4,80
2021/07/05 1:45,28.4,80
2021/07/05 1:46,28.4,80
2021/07/05 1:47,28.4,80
2021/07/05 1:48,28.4,80
2021/07/05 1:49,28.4,80
2021/07/05 1:50,28.4,80
2021/07/05 1:51,28.4,80
2021/07/05 1:52,28.4,80
2021/07/05 1:53,28.4,80
2021/07/05 1:54,28.4,80
2021/07/05 1:55,28.4,80
2021/07/05 1:56,28.3,81
2021/07/05 1:57,28.3,80
2021/07/05 1:58,28.3,80
2021/07/05 1:59,28.3,80
2021/07/05 2:00,28.3,80
2021/07/05 2:01,28.3,80
2021/07/05 2:02,28.3,80
2021/07/05 2:03,28.3,80
2021/07/05 2:04,28.3,81
2021/07/05 2:05,28.3,81
2021/07/05 2:06,28.3,81
2021/07/05 2:07,28.3,81
2021/07/05 2:08,28.3,81
2021/07/05 2:09,28.3,81
2021/07/05 2:10,28.3,81
2021/07/05 2:11,28.3,81
2021/07/05 2:12,28.3,82
2021/07/05 2:13,28.3,82
2021/07/05 2:14,28.3,82
2021/07/05 2:15,28.2,83
2021/07/05 2:16,28.2,82
2021/07/05 2:17,28.2,82
2021/07/05 2:18,28.2,82
2021/07/05 2:19,28.2,82
2021/07/05 2:20,28.2,82
2021/07/05 2:21,28.2,82
2021/07/05 2:22,28.2,82
2021/07/05 2:23,28.2,82
2021/07/05 2:24,28.2,82
2021/07/05 2:25,28.2,82
2021/07/05 2:26,28.2,82
2021/07/05 2:27,28.2,82
2021/07/05 2:28,28.2,82
2021/07/05 2:29,28.2,82
2021/07/05 2:30,28.2,82
2021/07/05 2:31,28.2,82
2021/07/05 2:32,28.2,82
2021/07/05 2:33,28.2,82
2021/07/05 2:34,28.2,82
2021/07/05 2:35,28.2,82
2021/07/05 2:36,28.2,82
2021/07/05 2:37,28.2,82
2021/07/05 2:38,28.2,82
2021/07/05 2:39,28.2,82
2021/07/05 2:40,28.2,82
2021/07/05 2:41,28.2,82
2021/07/05 2:42,28.2,82
2021/07/05 2:43,28.2,82
2021/07/05 2:44,28.2,82
2021/07/05 2:45,28.2,82
2021/07/05 2:46,28.2,83
2021/07/05 2:47,28.2,82
2021/07/05 2:48,28.2,83
2021/07/05 2:49,28.2,82
2021/07/05 2:50,28.2,82
2021/07/05 2:51,28.2,83
2021/07/05 2:52,28.2,82
2021/07/05 2:53,28.2,83
2021/07/05 2:54,28.2,83
2021/07/05 2:55,28.2,82
2021/07/05 2:56,28.2,83
2021/07/05 2:57,28.2,83
2021/07/05 2:58,28.2,83
2021/07/05 2:59,28.2,83
2021/07/05 3:00,28.2,83
2021/07/05 3:01,28.2,83
2021/07/05 3:02,28.2,83
2021/07/05 3:03,28.2,83
2021/07/05 3:04,28.2,83
2021/07/05 3:05,28.2,83
2021/07/05 3:06,28.2,83
2021/07/05 3:07,28.1,84
2021/07/05 3:08,28.1,84
2021/07/05 3:09,28.1,84
2021/07/05 3:10,28.1,84
2021/07/05 3:11,28.1,84
2021/07/05 3:12,28.1,84
2021/07/05 3:13,28.1,84
2021/07/05 3:14,28.1,84
2021/07/05 3:15,28.1,84
2021/07/05 3:16,28.1,84
2021/07/05 3:17,28.2,83
2021/07/05 3:18,28.3,83
2021/07/05 3:19,28.3,83
2021/07/05 3:20,28.3,83
2021/07/05 3:21,28.2,83
2021/07/05 3:22,28.2,83
2021/07/05 3:23,28.2,83
2021/07/05 3:24,28.2,83
2021/07/05 3:25,28.2,83
2021/07/05 3:26,28.2,83
2021/07/05 3:27,28.2,83
2021/07/05 3:28,28.2,83
2021/07/05 3:29,28.2,83
2021/07/05 3:30,28.2,83
2021/07/05 3:31,28.2,83
2021/07/05 3:32,28.2,83
2021/07/05 3:33,28.2,83
2021/07/05 3:34,28.3,83
2021/07/05 3:35,28.3,83
2021/07/05 3:36,28.3,83
2021/07/05 3:37,28.3,83
2021/07/05 3:38,28.2,83
2021/07/05 3:39,28.2,83
2021/07/05 3:40,28.2,83
2021/07/05 3:41,28.2,83
2021/07/05 3:42,28.2,83
2021/07/05 3:43,28.2,83
2021/07/05 3:44,28.2,83
2021/07/05 3:45,28.2,83
2021/07/05 3:46,28.2,83
2021/07/05 3:47,28.1,84
2021/07/05 3:48,28.1,84
2021/07/05 3:49,28.1,85
2021/07/05 3:50,28.1,84
2021/07/05 3:51,28.1,84
2021/07/05 3:52,28.1,85
2021/07/05 3:53,28.1,84
2021/07/05 3:54,28.1,84
2021/07/05 3:55,28.1,84
2021/07/05 3:56,28.1,84
2021/07/05 3:57,28.1,84
2021/07/05 3:58,28.1,84
2021/07/05 3:59,28.1,84
2021/07/05 4:00,28.1,84
2021/07/05 4:01,28.1,85
2021/07/05 4:02,28.1,85
2021/07/05 4:03,28.1,85
2021/07/05 4:04,28.0,85
2021/07/05 4:05,28.0,85
2021/07/05 4:06,28.0,85
2021/07/05 4:07,28.0,85
2021/07/05 4:08,28.0,85
2021/07/05 4:09,28.0,85
2021/07/05 4:10,28.1,85
2021/07/05 4:11,28.0,85
2021/07/05 4:12,28.0,85
2021/07/05 4:13,28.0,85
2021/07/05 4:14,28.0,85
2021/07/05 4:15,28.0,85
2021/07/05 4:16,28.0,85
2021/07/05 4:17,28.0,85
2021/07/05 4:18,28.0,85
2021/07/05 4:19,28.0,85
2021/07/05 4:20,28.0,85
2021/07/05 4:21,28.0,85
2021/07/05 4:22,28.0,85
2021/07/05 4:23,28.0,85
2021/07/05 4:24,28.0,85
2021/07/05 4:25,28.0,85
2021/07/05 4:26,28.0,86
2021/07/05 4:27,28.0,86
2021/07/05 4:28,28.0,86
2021/07/05 4:29,28.0,86
