Date,Temp,RH
2021/07/18 0:00,27.9,,
2021/07/18 0:01,27.9,,
2021/07/18 0:02,27.9,,
2021/07/18 0:03,27.9,,
2021/07/18 0:04,27.9,,
2021/07/18 0:05,27.9,,
2021/07/18 0:06,27.9,,
2021/07/18 0:07,27.9,,
2021/07/18 0:08,27.9,,
2021/07/18 0:09,27.9,,
2021/07/18 0:10,27.9,,
2021/07/18 0:11,27.9,,
2021/07/18 0:12,27.9,,
2021/07/18 0:13,27.9,,
2021/07/18 0:14,27.9,,
2021/07/18 0:15,27.9,,
2021/07/18 0:16,27.9,,
2021/07/18 0:17,27.8,,
2021/07/18 0:18,27.8,,
2021/07/18 0:19,27.7,,
2021/07/18 0:20,27.7,,
2021/07/18 0:21,27.8,,
2021/07/18 0:22,27.8,,
2021/07/18 0:23,27.8,,
2021/07/18 0:24,27.7,,
2021/07/18 0:25,27.7,,
2021/07/18 0:26,27.7,,
2021/07/18 0:27,27.7,,
2021/07/18 0:28,27.6,,
2021/07/18 0:29,27.6,,
2021/07/18 0:30,27.6,,
2021/07/18 0:31,27.6,,
2021/07/18 0:32,27.6,,
2021/07/18 0:33,27.6,,
2021/07/18 0:34,27.6,,
2021/07/18 0:35,27.7,,
2021/07/18 0:36,27.6,,
2021/07/18 0:37,27.6,,
2021/07/18 0:38,27.6,,
2021/07/18 0:39,27.6,,
2021/07/18 0:40,27.6,,
2021/07/18 0:41,27.5,,
2021/07/18 0:42,27.5,,
2021/07/18 0:43,27.5,,
2021/07/18 0:44,27.5,,
2021/07/18 0:45,27.5,,
2021/07/18 0:46,27.5,,
2021/07/18 0:47,27.5,,
2021/07/18 0:48,27.5,,
2021/07/18 0:49,27.5,,
2021/07/18 0:50,27.4,,
2021/07/18 0:51,27.4,,
2021/07/18 0:52,27.4,,
2021/07/18 0:53,27.4,,
2021/07/18 0:54,27.4,,
2021/07/18 0:55,27.4,,
2021/07/18 0:56,27.4,,
2021/07/18 0:57,27.3,,
2021/07/18 0:58,27.3,,
